timestamp,elapsed_time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,qw,qx,qy,qz,roll_deg,pitch_deg,yaw_deg,accel_bias_x,accel_bias_y,accel_bias_z,gyro_bias_x,gyro_bias_y,gyro_bias_z,raw_accel_x,raw_accel_y,raw_accel_z,raw_gyro_x,raw_gyro_y,raw_gyro_z
9.195000,9.195000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050024,-0.115267,12.192651,0.001347,0.011644,0.004475
9.208000,9.208000,-0.000003,-0.000004,0.000198,-0.000402,-0.000577,0.030507,1.000000,-0.000015,0.000085,0.000001,-0.001738,0.009704,0.000141,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.030901,-0.044423,12.153376,-0.002333,0.013028,0.000189
9.256000,9.256000,-0.000083,-0.000201,0.004185,-0.002937,-0.007634,0.135623,0.999284,-0.000047,0.000309,0.037827,-0.004010,0.035558,4.335658,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.054843,-0.147374,11.996553,-0.000827,0.009401,0.001701
9.256000,9.256000,-0.000083,-0.000201,0.004185,-0.002937,-0.007634,0.135623,0.997282,-0.000058,0.000307,0.073675,-0.004010,0.035558,8.450225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.054843,-0.147374,11.996553,-0.000827,0.009401,0.001701
9.268000,9.268000,-0.000120,-0.000303,0.005971,-0.003241,-0.009457,0.161903,0.994190,-0.000079,0.000360,0.107643,-0.004577,0.042022,12.358931,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.054843,-0.147374,11.996553,-0.000827,0.009401,0.001701
9.286000,9.286000,-0.000175,-0.000482,0.009192,-0.002928,-0.010344,0.195977,0.990179,-0.000070,0.000487,0.139805,-0.000124,0.056350,16.073087,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002171,-0.052803,11.699674,0.004314,0.013892,0.005028
9.304000,9.304000,-0.000224,-0.000676,0.013026,-0.002504,-0.011210,0.230052,0.985410,-0.000068,0.000614,0.170199,0.004331,0.070677,19.598729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002171,-0.052803,11.699674,0.004314,0.013892,0.005028
9.325000,9.325000,-0.000280,-0.000919,0.018240,-0.002771,-0.012020,0.266568,0.980031,-0.000059,0.000686,0.198842,0.008950,0.078362,22.938467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.039163,-0.031190,11.545488,0.003843,0.006386,-0.003000
9.344000,9.344000,-0.000325,-0.001150,0.023581,-0.002001,-0.012251,0.295579,0.974145,-0.000094,0.000733,0.225923,0.008528,0.084214,26.114309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017101,-0.025204,11.333601,-0.000388,0.005376,0.000386
9.366000,9.366000,-0.000360,-0.001439,0.030423,-0.001207,-0.013987,0.326486,0.967868,-0.000132,0.000821,0.251459,0.009016,0.094805,29.127761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.018812,-0.085059,11.211498,0.000389,0.008402,-0.001285
